total_tasks,edge_success,cloud_success,failed_tasks,avg_delay_s,cloud_remaining,algorithm,run
795,219,0,576,64.97351637972115,0.0,tors_exact,0
851,228,0,623,57.044669704221846,0.0,tors_exact,1
796,224,0,572,56.15878791364123,0.0,tors_exact,2
784,29,0,755,53.121356057223664,,gca,0
788,28,0,760,51.5489727400761,,gca,1
773,33,0,740,51.74825887697471,,gca,2
767,202,0,565,134.70394856355406,,mvac,0
797,206,0,591,120.93992384389334,,mvac,1
821,207,0,614,119.83395115492412,,mvac,2
864,24,0,840,61.98622043615328,,dpka,0
802,18,0,784,55.05568848608366,,dpka,1
779,22,0,757,62.923942431007795,,dpka,2
